Section_ID,Section_Number,Course_ID,Location,S_Info,S_Capacity,Date,ProfessorSSN
261,003,ITSS 4351,ECSS 2.138,Information Systems,90,Mo-We 10:30-11:45 AM,306132758
262,004,ITSS 4351,ECSS 2.138,Information Systems,90,Mo-We 10:30-11:45 AM,306132758
263,005,ITSS 4351,ECSS 2.138,Information Systems,90,Mo-We 10:30-11:45 AM,306132758
264,001,ITSS 4352,ECSN 2.840,Information Systems,150,Mo-We 1:00-2:15 PM,100000000
265,002,ITSS 4352,ECSN 2.840,Information Systems,150,Mo-We 1:00-2:15 PM,100000000
266,001,ITSS 4353,ECSS 3.816,Information Systems,130,Mo-We 10:30-11:45 AM,770545107
267,002,ITSS 4353,ECSS 3.816,Information Systems,130,Mo-We 10:30-11:45 AM,770545107
268,003,ITSS 4353,ECSS 3.816,Information Systems,130,Mo-We 10:30-11:45 AM,770545107
269,001,ITSS 4354,ECSW 3.125,Information Systems,130,Mo-We 9:00-10:15 AM,423949264
270,002,ITSS 4354,ECSW 3.125,Information Systems,130,Mo-We 9:00-10:15 AM,423949264
271,003,ITSS 4354,ECSW 3.125,Information Systems,130,Mo-We 9:00-10:15 AM,423949264
272,004,ITSS 4354,ECSW 3.125,Information Systems,130,Mo-We 9:00-10:15 AM,423949264
273,005,ITSS 4354,ECSW 3.125,Information Systems,130,Mo-We 9:00-10:15 AM,423949264
274,001,ITSS 4355,ECSW 4.245,Information Systems,110,Mo-We 1:00-2:15 PM,632151738
275,002,ITSS 4355,ECSW 4.245,Information Systems,110,Mo-We 1:00-2:15 PM,632151738
276,003,ITSS 4355,ECSW 4.245,Information Systems,110,Mo-We 1:00-2:15 PM,632151738
277,004,ITSS 4355,ECSW 4.245,Information Systems,110,Mo-We 1:00-2:15 PM,632151738
278,001,ITSS 4356,ECSS 3.378,Information Systems,150,Tu-Th 10:30-11:45 AM,100000001
279,001,ITSS 4360,ECSN 3.680,Information Systems,150,Mo-We 9:00-10:15 AM,117316167
280,002,ITSS 4360,ECSN 3.680,Information Systems,150,Mo-We 9:00-10:15 AM,117316167
281,003,ITSS 4360,ECSN 3.680,Information Systems,150,Mo-We 9:00-10:15 AM,117316167
282,001,ITSS 4361,ECSW 4.927,Information Systems,110,Mo-We 9:00-10:15 AM,627815400
283,002,ITSS 4361,ECSW 4.927,Information Systems,110,Mo-We 9:00-10:15 AM,627815400
284,003,ITSS 4361,ECSW 4.927,Information Systems,110,Mo-We 9:00-10:15 AM,627815400
285,001,ITSS 4362,ECSS 3.453,Information Systems,130,Tu-Th 1:00-2:15 PM,842341927
286,002,ITSS 4362,ECSS 3.453,Information Systems,130,Tu-Th 1:00-2:15 PM,842341927
287,003,ITSS 4362,ECSS 3.453,Information Systems,130,Tu-Th 1:00-2:15 PM,842341927
288,001,ITSS 4370,ECSW 3.872,Information Systems,90,Mo-We 10:30-11:45 AM,936088867
289,002,ITSS 4370,ECSW 3.872,Information Systems,90,Mo-We 10:30-11:45 AM,936088867
290,003,ITSS 4370,ECSW 3.872,Information Systems,90,Mo-We 10:30-11:45 AM,936088867
291,001,ITSS 4371,ECSW 2.821,Information Systems,70,Tu-Th 1:00-2:15 PM,900128846
292,002,ITSS 4371,ECSW 2.821,Information Systems,70,Tu-Th 1:00-2:15 PM,900128846
293,003,ITSS 4371,ECSW 2.821,Information Systems,70,Tu-Th 1:00-2:15 PM,900128846
294,004,ITSS 4371,ECSW 2.821,Information Systems,70,Tu-Th 1:00-2:15 PM,900128846
295,005,ITSS 4371,ECSW 2.821,Information Systems,70,Tu-Th 1:00-2:15 PM,900128846
296,001,ITSS 4380,ECSS 4.810,Information Systems,150,Tu-Th 1:00-2:15 PM,910020692
297,001,ITSS 4381,ECSS 2.501,Information Systems,130,Tu-Th 10:30-11:45 AM,256694928
298,002,ITSS 4381,ECSS 2.501,Information Systems,130,Tu-Th 10:30-11:45 AM,256694928
299,003,ITSS 4381,ECSS 2.501,Information Systems,130,Tu-Th 10:30-11:45 AM,256694928
300,004,ITSS 4381,ECSS 2.501,Information Systems,130,Tu-Th 10:30-11:45 AM,256694928
301,005,ITSS 4381,ECSS 2.501,Information Systems,130,Tu-Th 10:30-11:45 AM,256694928
302,001,ITSS 4382,ECSS 2.999,Information Systems,110,Tu-Th 2:30-3:45 PM,476540924
303,002,ITSS 4382,ECSS 2.999,Information Systems,110,Tu-Th 2:30-3:45 PM,476540924
304,003,ITSS 4382,ECSS 2.999,Information Systems,110,Tu-Th 2:30-3:45 PM,476540924
305,004,ITSS 4382,ECSS 2.999,Information Systems,110,Tu-Th 2:30-3:45 PM,476540924
306,001,ITSS 4383,ECSS 4.305,Information Systems,130,Tu-Th 9:00-10:15 AM,723893318
307,002,ITSS 4383,ECSS 4.305,Information Systems,130,Tu-Th 9:00-10:15 AM,723893318
308,003,ITSS 4383,ECSS 4.305,Information Systems,130,Tu-Th 9:00-10:15 AM,723893318
309,004,ITSS 4383,ECSS 4.305,Information Systems,130,Tu-Th 9:00-10:15 AM,723893318
310,005,ITSS 4383,ECSS 4.305,Information Systems,130,Tu-Th 9:00-10:15 AM,723893318
311,001,ITSS 4395,ECSW 3.735,Information Systems,130,Tu-Th 10:30-11:45 AM,764551079
312,002,ITSS 4395,ECSW 3.735,Information Systems,130,Tu-Th 10:30-11:45 AM,764551079
313,003,ITSS 4395,ECSW 3.735,Information Systems,130,Tu-Th 10:30-11:45 AM,764551079
314,001,ITSS 4V81,ECSS 2.593,Information Systems,90,Mo-We 1:00-2:15 PM,601765707
315,002,ITSS 4V81,ECSS 2.593,Information Systems,90,Mo-We 1:00-2:15 PM,601765707
316,003,ITSS 4V81,ECSS 2.593,Information Systems,90,Mo-We 1:00-2:15 PM,601765707
317,001,ITSS 4V90,ECSW 4.635,Information Systems,110,Tu-Th 2:30-3:45 PM,856634553
318,002,ITSS 4V90,ECSW 4.635,Information Systems,110,Tu-Th 2:30-3:45 PM,856634553
319,003,ITSS 4V90,ECSW 4.635,Information Systems,110,Tu-Th 2:30-3:45 PM,856634553
320,001,ITSS 4V95,ECSN 3.320,Information Systems,130,Mo-We 9:00-10:15 AM,672157538
321,002,ITSS 4V95,ECSN 3.320,Information Systems,130,Mo-We 9:00-10:15 AM,672157538
